time="2025-09-13T23:40:20-05:00" level=info msg="Visualization available at: http://localhost:4000/#/local"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #133: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/resourcequotacontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #134: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/serviceaccountcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #135: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/statefulsetcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #136: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/ttlafterfinishedcontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #137: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/options/validatingadmissionpolicycontroller.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #138: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/plugins.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #139: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/plugins_providers.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #140: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/plugins_test.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #141: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/policy.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #142: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/rbac.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #143: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/storageversionmigrator.go"
time="2025-09-13T23:40:21-05:00" level=info msg="[Analyze] Procesando archivo #144: /home/shinji/Escritorio/Proyectos/kubernetes/cmd/kube-controller-manager/app/testing/testserver.go"
